epoch,batch_idx,data_type,loss,run_time
144,0,val,41.640545,0.33
144,1,val,43.209270,0.35
145,0,train,52.131039,0.12
145,0,val,46.597637,0.24
145,1,val,43.645153,0.25
146,0,train,35.555401,0.13
146,0,val,44.383121,0.26
146,1,val,42.298313,0.26
147,0,train,40.931126,0.11
147,0,val,40.368195,0.23
147,1,val,42.926147,0.24
148,0,train,26.602556,0.12
148,0,val,41.114853,0.27
148,1,val,51.386574,0.30
149,0,train,42.610344,0.11
149,0,val,40.420681,0.25
149,1,val,45.778545,0.25
150,0,train,28.554016,0.12
150,0,val,41.356949,0.24
150,1,val,46.207790,0.25
151,0,train,35.927338,0.14
151,0,val,50.116997,0.27
151,1,val,45.041645,0.27
152,0,train,30.510986,0.13
152,0,val,44.159985,0.29
152,1,val,42.656986,0.30
153,0,train,43.465099,0.11
153,0,val,42.915359,0.30
153,1,val,50.670990,0.32
154,0,train,36.161144,0.14
154,0,val,43.640053,0.31
154,1,val,42.979759,0.33
155,0,train,43.894562,0.14
155,0,val,39.752197,0.32
155,1,val,43.098389,0.33
156,0,train,43.864326,0.16
156,0,val,42.463146,0.37
156,1,val,52.051579,0.39
157,0,train,34.897823,0.15
157,0,val,39.787449,0.30
157,1,val,42.496021,0.31
158,0,train,35.874279,0.11
158,0,val,42.327023,0.24
158,1,val,45.247147,0.24
159,0,train,29.432096,0.11
159,0,val,42.238407,0.24
159,1,val,42.809654,0.24
160,0,train,35.365124,0.12
160,0,val,39.468761,0.26
160,1,val,47.588482,0.27
161,0,train,42.115723,0.14
161,0,val,39.539833,0.26
161,1,val,50.546795,0.26
162,0,train,37.074085,0.13
162,0,val,41.546627,0.26
162,1,val,42.690220,0.26
163,0,train,37.787395,0.11
163,0,val,41.393692,0.24
163,1,val,42.369884,0.24
164,0,train,40.347034,0.12
164,0,val,41.440243,0.24
164,1,val,43.454571,0.25
165,0,train,44.998936,0.11
165,0,val,39.103832,0.26
165,1,val,45.075291,0.26
166,0,train,40.004456,0.11
166,0,val,41.576557,0.23
166,1,val,41.832638,0.24
167,0,train,43.703918,0.13
167,0,val,39.452709,0.26
167,1,val,42.987949,0.27
168,0,train,37.369118,0.12
168,0,val,47.558083,0.25
168,1,val,42.245579,0.25
169,0,train,38.768242,0.16
169,0,val,39.332283,0.31
169,1,val,43.043835,0.33
170,0,train,38.435513,0.19
170,0,val,39.272476,0.32
170,1,val,42.519115,0.32
171,0,train,29.601007,0.21
171,0,val,39.349842,0.41
171,1,val,41.995148,0.44
172,0,train,27.431868,0.19
172,0,val,39.964909,0.36
172,1,val,41.935627,0.37
173,0,train,46.124424,0.15
173,0,val,46.836380,0.37
173,1,val,43.618317,0.38
174,0,train,37.679317,0.15
174,0,val,40.822224,0.34
174,1,val,43.017441,0.37
175,0,train,33.523315,0.14
