epoch,batch_idx,data_type,loss,run_time
46,2,val,59.471413,0.27
46,3,val,42.153004,0.28
47,0,train,59.386295,0.11
47,1,train,39.300449,0.15
47,0,val,82.623375,0.27
47,1,val,67.413582,0.27
47,2,val,63.066616,0.28
47,3,val,33.015095,0.28
48,0,train,75.149857,0.12
48,1,train,97.789825,0.17
48,0,val,88.181030,0.30
48,1,val,66.264175,0.30
48,2,val,62.914074,0.31
48,3,val,33.161243,0.31
49,0,train,78.160645,0.12
49,1,train,99.432564,0.15
49,0,val,82.674461,0.28
49,1,val,71.634430,0.28
49,2,val,58.417400,0.29
49,3,val,33.048771,0.29
50,0,train,60.571327,0.13
50,1,train,85.847916,0.17
50,0,val,82.481964,0.29
50,1,val,67.536530,0.29
50,2,val,57.791077,0.30
50,3,val,43.218174,0.30
51,0,train,79.693665,0.12
51,1,train,73.682373,0.15
51,0,val,83.273865,0.28
51,1,val,65.726166,0.28
51,2,val,67.171013,0.29
51,3,val,34.163445,0.29
52,0,train,71.157448,0.12
52,1,train,52.884266,0.16
52,0,val,85.448914,0.29
52,1,val,66.437096,0.30
52,2,val,57.790226,0.30
52,3,val,32.223103,0.31
53,0,train,74.194656,0.12
53,1,train,108.174454,0.16
53,0,val,80.232422,0.27
53,1,val,65.904518,0.28
53,2,val,56.986721,0.28
53,3,val,34.378895,0.28
54,0,train,49.587723,0.14
54,1,train,69.189934,0.17
54,0,val,82.038986,0.29
54,1,val,70.029816,0.30
54,2,val,59.438900,0.30
54,3,val,44.769035,0.31
55,0,train,71.971123,0.13
55,1,train,106.400146,0.16
55,0,val,79.702499,0.28
55,1,val,65.603508,0.28
55,2,val,60.422337,0.28
55,3,val,36.877552,0.29
56,0,train,80.932968,0.11
56,1,train,48.406307,0.15
56,0,val,79.987595,0.26
56,1,val,67.416733,0.28
56,2,val,60.533783,0.28
56,3,val,33.327774,0.29
57,0,train,72.230591,0.16
57,1,train,74.382477,0.20
57,0,val,84.377800,0.37
57,1,val,65.170250,0.38
57,2,val,57.616310,0.39
57,3,val,40.329258,0.39
58,0,train,63.034336,0.15
58,1,train,107.040405,0.19
58,0,val,80.040825,0.35
58,1,val,64.717506,0.35
58,2,val,57.312721,0.36
58,3,val,33.344574,0.37
59,0,train,81.833145,0.20
59,1,train,79.323349,0.24
59,0,val,79.192688,0.38
59,1,val,65.596924,0.40
59,2,val,57.717201,0.42
59,3,val,32.907074,0.42
60,0,train,65.734978,0.19
60,1,train,43.288723,0.23
60,0,val,79.844559,0.41
60,1,val,64.227638,0.42
60,2,val,58.010925,0.43
60,3,val,32.754326,0.43
61,0,train,72.561218,0.16
61,1,train,57.516861,0.19
61,0,val,81.040314,0.38
61,1,val,64.638542,0.40
61,2,val,59.212021,0.41
61,3,val,34.319565,0.42
62,0,train,80.668594,0.16
62,1,train,61.813271,0.19
62,0,val,80.131500,0.36
62,1,val,65.597160,0.38
62,2,val,60.361675,0.40
62,3,val,40.829170,0.40
63,0,train,65.407364,0.15
63,1,train,81.332283,0.19
63,0,val,79.737373,0.34
63,1,val,65.240112,0.35
63,2,val,57.254944,0.36
63,3,val,34.489952,0.37
64,0,train,73.193176,0.16
64,1,train,58.622944,0.20
64,0,val,86.293938,0.35
64,1,val,65.607613,0.36
64,2,val,57.567711,0.37
64,3,val,32.741589,0.38
65,0,train,72.822922,0.11
65,1,train,78.196098,0.15
65,0,val,85.117065,0.26
65,1,val,64.801437,0.26
65,2,val,62.634575,0.26
65,3,val,32.818729,0.27
66,0,train,55.306229,0.12
66,1,train,89.890800,0.15
66,0,val,81.376686,0.27
66,1,val,72.652153,0.27
66,2,val,56.968590,0.27
66,3,val,32.436665,0.28
67,0,train,80.802032,0.13
67,1,train,79.325821,0.17
67,0,val,82.169098,0.31
67,1,val,64.962463,0.32
67,2,val,65.843002,0.32
67,3,val,32.643845,0.33
68,0,train,82.153496,0.12
68,1,train,65.303017,0.15
68,0,val,84.384148,0.27
68,1,val,65.100800,0.28
68,2,val,57.623672,0.28
68,3,val,34.426521,0.29
69,0,train,62.344559,0.14
69,1,train,120.676521,0.17
69,0,val,79.378960,0.29
69,1,val,66.412727,0.29
69,2,val,56.876602,0.30
69,3,val,38.123840,0.30
70,0,train,65.251816,0.15
70,1,train,88.656555,0.19
70,0,val,79.198235,0.31
70,1,val,65.802139,0.32
70,2,val,56.930504,0.32
70,3,val,32.189659,0.33
71,0,train,69.204628,0.13
71,1,train,65.250755,0.16
71,0,val,79.782394,0.30
71,1,val,64.082260,0.30
71,2,val,61.288692,0.31
71,3,val,32.545055,0.31
72,0,train,66.726746,0.12
72,1,train,66.930473,0.16
72,0,val,78.470284,0.27
72,1,val,64.600311,0.28
72,2,val,56.333382,0.28
72,3,val,32.278694,0.29
73,0,train,52.931171,0.16
73,1,train,58.140839,0.19
73,0,val,79.317383,0.32
73,1,val,63.328663,0.33
73,2,val,57.547115,0.33
73,3,val,34.389744,0.34
74,0,train,69.066711,0.12
74,1,train,58.334732,0.15
74,0,val,79.125244,0.26
74,1,val,64.461876,0.26
74,2,val,55.723717,0.27
74,3,val,39.054699,0.27
75,0,train,62.774899,0.15
75,1,train,67.503067,0.18
75,0,val,79.672104,0.29
75,1,val,64.813927,0.30
75,2,val,57.509834,0.30
75,3,val,33.150887,0.30
76,0,train,57.920433,0.12
76,1,train,67.876556,0.15
76,0,val,77.764885,0.27
76,1,val,64.575661,0.28
76,2,val,58.255314,0.29
76,3,val,33.855759,0.29
77,0,train,76.149467,0.12
77,1,train,66.995972,0.15
77,0,val,77.816193,0.29
77,1,val,63.646919,0.29
77,2,val,56.517445,0.30
77,3,val,33.747662,0.31
78,0,train,62.582138,0.13
78,1,train,85.508789,0.17
78,0,val,80.094681,0.30
78,1,val,71.174988,0.31
78,2,val,57.405792,0.31
78,3,val,33.943577,0.32
79,0,train,69.377861,0.11
79,1,train,70.192039,0.15
79,0,val,78.510063,0.30
79,1,val,65.900459,0.32
79,2,val,57.227959,0.33
79,3,val,33.227123,0.34
80,0,train,78.077393,0.12
80,1,train,82.217583,0.15
80,0,val,77.383896,0.28
80,1,val,65.726471,0.30
80,2,val,55.177261,0.32
80,3,val,32.450535,0.33
81,0,train,65.794388,0.13
81,1,train,37.482025,0.16
81,0,val,79.251816,0.28
81,1,val,66.218498,0.29
81,2,val,56.706669,0.29
81,3,val,33.100414,0.30
82,0,train,72.888428,0.12
82,1,train,83.747162,0.15
82,0,val,77.978096,0.26
82,1,val,62.724804,0.26
82,2,val,54.908962,0.27
82,3,val,32.258385,0.27
83,0,train,63.256058,0.13
83,1,train,39.382763,0.17
83,0,val,76.886246,0.27
83,1,val,63.417175,0.28
83,2,val,57.681412,0.28
83,3,val,32.604160,0.29
84,0,train,56.751080,0.12
84,1,train,46.024593,0.15
84,0,val,79.748749,0.26
84,1,val,68.954163,0.27
84,2,val,57.286167,0.27
84,3,val,34.332191,0.27
85,0,train,64.419067,0.12
85,1,train,74.319695,0.15
85,0,val,79.488365,0.27
85,1,val,66.091682,0.28
85,2,val,57.524933,0.29
85,3,val,39.583645,0.30
86,0,train,65.575012,0.13
86,1,train,49.275105,0.16
86,0,val,78.275856,0.26
86,1,val,72.939926,0.27
86,2,val,55.422855,0.27
86,3,val,31.369019,0.28
87,0,train,87.051933,0.12
87,1,train,84.458557,0.15
87,0,val,81.342735,0.26
87,1,val,64.682762,0.27
87,2,val,54.914600,0.27
87,3,val,31.886236,0.27
88,0,train,88.039108,0.12
88,1,train,63.849655,0.15
88,0,val,76.985687,0.30
88,1,val,63.033939,0.32
88,2,val,55.263828,0.33
88,3,val,38.865646,0.34
89,0,train,56.296921,0.20
89,1,train,40.081863,0.24
89,0,val,77.602707,0.41
89,1,val,62.460907,0.43
89,2,val,55.440643,0.44
89,3,val,31.908949,0.45
90,0,train,70.465324,0.16
90,1,train,72.689041,0.20
90,0,val,77.877350,0.35
90,1,val,63.830235,0.36
90,2,val,54.382206,0.37
90,3,val,33.310047,0.39
91,0,train,73.506134,0.15
91,1,train,63.987068,0.19
91,0,val,81.320702,0.35
91,1,val,62.544350,0.37
91,2,val,64.996147,0.37
91,3,val,32.202534,0.38
92,0,train,54.632179,0.14
92,1,train,75.694908,0.18
92,0,val,75.911270,0.35
92,1,val,68.356178,0.36
92,2,val,55.117928,0.37
92,3,val,32.968410,0.38
93,0,train,54.826759,0.16
93,1,train,61.145676,0.20
93,0,val,77.773117,0.36
93,1,val,62.111595,0.37
93,2,val,58.036583,0.38
93,3,val,31.439556,0.38
94,0,train,75.973221,0.13
94,1,train,52.832619,0.17
94,0,val,77.048790,0.40
94,1,val,61.829487,0.43
94,2,val,54.940418,0.43
